image_name,mean_brightness,max_brightness,median_brightness,percentile_70_brightness
crop_Componenets_1.transformed214.tif,216.35493355691594,239,218.0,221.0
crop_Componenets_1.transformed215.tif,216.31055037442,255,218.0,221.0
crop_Componenets_1.transformed216.tif,216.30587910951823,255,218.0,221.0
crop_Componenets_1.transformed217.tif,216.37795519816197,255,218.0,221.0
crop_Componenets_1.transformed218.tif,216.49094105076918,255,218.0,221.0
crop_Componenets_1.transformed219.tif,216.6492163441651,254,218.0,221.0
crop_Componenets_1.transformed220.tif,216.7095365593004,255,218.0,221.0
crop_Componenets_1.transformed221.tif,216.84241985355817,255,218.0,221.0
crop_Componenets_1.transformed222.tif,216.7651332275789,255,218.0,221.0
crop_Componenets_1.transformed223.tif,216.83721063949676,255,218.0,221.0
crop_Componenets_1.transformed224.tif,216.66786215141275,255,218.0,221.0
crop_Componenets_1.transformed225.tif,216.59777999931055,255,218.0,221.0
crop_Componenets_1.transformed226.tif,216.75441761069877,250,218.0,221.0
crop_Componenets_1.transformed227.tif,216.8775460940733,242,218.0,221.0
crop_Componenets_1.transformed228.tif,216.9191829791147,241,218.0,221.0
crop_Componenets_1.transformed229.tif,216.97151855087122,241,218.0,221.0
crop_Componenets_1.transformed230.tif,217.0759647872756,241,218.0,221.0
crop_Componenets_1.transformed231.tif,217.22853335171527,242,219.0,221.0
crop_Componenets_1.transformed232.tif,217.30259544791295,242,219.0,221.0
crop_Componenets_1.transformed233.tif,217.27027399620886,243,218.0,221.0
crop_Componenets_1.transformed234.tif,217.13035835334398,242,218.0,221.0
crop_Componenets_1.transformed235.tif,217.2158491606632,242,218.0,221.0
crop_Componenets_1.transformed236.tif,217.24615384615385,243,219.0,221.0
crop_Componenets_1.transformed237.tif,217.23997747877144,244,219.0,221.0
crop_Componenets_1.transformed238.tif,217.21247888198045,243,218.0,221.0
crop_Componenets_1.transformed239.tif,217.21997310252078,243,218.0,221.0
crop_Componenets_1.transformed240.tif,217.13386831606903,244,218.0,221.0
crop_Componenets_1.transformed241.tif,217.08809058512472,244,218.0,221.0
crop_Componenets_1.transformed242.tif,217.1519457377709,246,218.0,221.0
crop_Componenets_1.transformed243.tif,217.18343467316467,245,218.0,221.0
crop_Componenets_1.transformed244.tif,217.2366319224979,245,219.0,221.0
crop_Componenets_1.transformed245.tif,217.30405754800455,248,219.0,222.0
crop_Componenets_1.transformed246.tif,217.30415402996047,250,219.0,222.0
crop_Componenets_1.transformed247.tif,217.24947432524044,247,219.0,222.0
crop_Componenets_1.transformed248.tif,217.29009081503622,247,219.0,222.0
crop_Componenets_1.transformed249.tif,217.3020809381467,248,219.0,222.0
crop_Componenets_1.transformed250.tif,217.22921361232468,247,219.0,221.0
crop_Componenets_1.transformed251.tif,217.02531878442238,241,218.0,221.0
crop_Componenets_1.transformed252.tif,217.04523814999655,240,218.0,221.0
crop_Componenets_1.transformed253.tif,217.02990258657374,243,218.0,221.0
crop_Componenets_1.transformed254.tif,217.06787106567464,244,219.0,221.0
